iter	Passed	Remaining
0	7	7158
1	13	6578
2	19	6437
3	25	6364
4	33	6653
5	39	6461
6	44	6381
7	53	6627
8	58	6494
9	64	6390
10	71	6383
11	76	6339
12	84	6378
13	89	6284
14	95	6283
15	102	6280
16	108	6266
17	115	6311
18	121	6261
19	127	6246
20	133	6235
21	139	6217
22	145	6164
23	151	6147
24	156	6114
25	162	6081
26	169	6119
27	175	6097
28	179	6026
29	186	6029
30	192	6012
31	198	6014
32	206	6036
33	211	6013
34	219	6045
35	224	6015
36	231	6036
37	237	6019
38	242	5981
39	250	6020
40	255	5986
41	261	5961
42	267	5957
43	273	5933
44	279	5939
45	285	5911
46	291	5904
47	298	5925
48	303	5892
49	309	5878
50	316	5884
51	321	5855
52	328	5863
53	333	5843
54	340	5841
55	345	5824
56	351	5812
57	357	5812
58	363	5799
59	371	5812
60	377	5813
61	383	5807
62	389	5798
63	396	5802
64	402	5786
65	407	5765
66	413	5761
67	421	5770
68	426	5757
69	432	5739
70	437	5724
71	444	5734
72	450	5721
73	456	5706
74	462	5703
75	469	5709
76	475	5701
77	482	5707
78	488	5691
79	494	5690
80	500	5676
81	506	5672
82	513	5677
83	519	5666
84	525	5659
85	531	5650
86	538	5650
87	545	5648
88	550	5639
89	556	5631
90	563	5628
91	569	5621
92	575	5614
93	582	5610
94	588	5602
95	594	5593
96	599	5581
97	606	5582
98	612	5571
99	618	5570
100	624	5559
101	629	5544
102	634	5528
103	641	5522
104	647	5516
105	652	5504
106	658	5495
107	665	5498
108	671	5488
109	676	5476
110	683	5477
111	691	5479
112	695	5459
113	700	5447
114	708	5451
115	713	5440
116	720	5439
117	726	5430
118	732	5421
119	739	5421
120	744	5407
121	749	5394
122	756	5392
123	761	5381
124	768	5377
125	774	5369
126	779	5358
127	788	5370
128	793	5359
129	799	5349
130	805	5343
131	813	5351
132	819	5343
133	824	5329
134	830	5324
135	836	5317
136	844	5318
137	850	5309
138	855	5299
139	862	5298
140	868	5289
141	874	5281
142	879	5271
143	885	5266
144	892	5263
145	897	5251
146	906	5257
147	912	5254
148	918	5246
149	923	5235
150	929	5224
151	935	5219
152	941	5210
153	946	5198
154	953	5195
155	958	5185
156	967	5192
157	972	5183
158	978	5177
159	985	5176
160	992	5172
161	998	5166
162	1005	5161
163	1011	5157
164	1017	5149
165	1022	5137
166	1028	5132
167	1035	5129
168	1041	5119
169	1046	5111
170	1054	5112
171	1062	5114
172	1069	5111
173	1076	5108
