iter	Passed	Remaining
0	17	17082
1	33	16683
2	47	15716
3	60	15068
4	74	14758
5	86	14326
6	97	13872
7	111	13884
8	125	13857
9	138	13749
10	152	13713
11	164	13508
12	176	13367
13	187	13234
14	200	13189
15	214	13181
16	226	13124
17	239	13078
18	252	13018
19	264	12977
20	270	12620
21	280	12464
22	293	12481
23	308	12525
24	321	12531
25	325	12209
26	337	12152
27	350	12165
28	363	12162
29	375	12135
30	382	11944
31	391	11853
32	404	11849
33	416	11819
34	423	11676
35	434	11625
36	446	11631
37	453	11475
38	466	11484
39	476	11443
40	488	11430
41	500	11426
42	513	11420
43	525	11412
44	541	11481
45	554	11492
46	559	11350
47	572	11352
48	584	11344
49	596	11330
50	606	11284
51	619	11285
52	631	11277
53	637	11167
54	643	11063
55	656	11074
56	667	11036
57	679	11037
58	685	10936
59	698	10942
60	710	10936
61	722	10936
62	734	10925
63	738	10802
64	751	10806
65	764	10815
66	775	10793
67	787	10793
68	798	10780
69	809	10755
70	819	10721
71	830	10703
72	843	10710
73	855	10703
74	866	10691
75	878	10684
76	888	10650
77	900	10648
78	913	10653
79	925	10641
80	936	10630
81	948	10620
82	958	10591
83	971	10598
84	977	10527
85	989	10517
86	995	10446
87	1007	10440
88	1020	10445
89	1034	10454
90	1043	10426
91	1049	10362
92	1062	10359
93	1076	10372
94	1089	10380
95	1094	10304
96	1104	10285
97	1119	10305
98	1132	10304
99	1147	10325
100	1159	10321
101	1175	10352
102	1191	10374
103	1219	10508
104	1237	10547
105	1249	10537
106	1263	10549
107	1271	10503
108	1284	10497
109	1297	10498
110	1309	10487
111	1322	10484
112	1330	10446
113	1342	10429
114	1356	10437
115	1371	10448
116	1385	10454
117	1399	10462
118	1415	10478
119	1428	10477
120	1438	10448
121	1447	10416
122	1467	10466
123	1496	10569
124	1513	10593
125	1525	10580
126	1537	10567
127	1549	10556
128	1563	10553
129	1575	10544
130	1588	10534
131	1600	10527
132	1606	10472
133	1618	10459
134	1631	10451
135	1644	10447
136	1648	10387
137	1663	10389
138	1676	10385
139	1688	10372
140	1700	10360
141	1710	10334
142	1722	10320
143	1733	10305
144	1746	10299
145	1761	10304
146	1773	10291
147	1784	10275
148	1794	10249
149	1800	10202
150	1813	10195
151	1823	10172
152	1827	10114
153	1833	10072
154	1844	10057
155	1856	10044
156	1864	10012
157	1876	10002
158	1887	9986
159	1899	9970
160	1904	9922
161	1916	9915
162	1932	9924
163	1950	9944
164	1968	9961
165	1982	9961
166	1993	9945
167	2009	9951
168	2023	9950
169	2036	9944
170	2056	9970
171	2076	9997
172	2093	10009
173	2111	10025
174	2128	10034
175	2144	10038
176	2158	10036
177	2171	10029
178	2183	10015
179	2193	9994
180	2209	9995
181	2212	9944
182	2224	9932
183	2235	9914
184	2246	9894
185	2257	9881
186	2268	9861
187	2280	9850
188	2290	9830
189	2302	9815
190	2308	9779
191	2317	9754
192	2328	9736
193	2332	9691
194	2344	9678
195	2356	9664
196	2367	9650
197	2375	9623
198	2379	9577
199	2390	9561
200	2395	9522
201	2398	9475
202	2410	9464
203	2423	9454
204	2427	9414
205	2439	9401
206	2450	9386
207	2463	9380
208	2471	9352
209	2483	9343
210	2492	9320
211	2505	9312
212	2516	9298
213	2527	9282
214	2535	9257
215	2546	9243
216	2553	9212
217	2565	9202
218	2575	9183
219	2585	9167
220	2597	9154
221	2602	9121
222	2611	9100
223	2621	9081
224	2631	9065
225	2642	9050
226	2646	9013
227	2657	8998
228	2668	8985
229	2679	8970
230	2689	8954
231	2699	8935
232	2703	8898
233	2714	8884
234	2721	8860
235	2728	8833
236	2739	8819
237	2747	8795
238	2760	8788
239	2771	8777
240	2781	8759
241	2791	8742
242	2802	8729
243	2813	8716
244	2823	8700
245	2833	8686
246	2845	8676
247	2855	8659
248	2866	8645
249	2874	8623
250	2884	8608
251	2895	8593
252	2906	8581
253	2917	8569
254	2929	8560
255	2936	8534
256	2942	8506
257	2951	8489
258	2957	8460
259	2969	8452
260	2981	8442
261	2994	8434
262	3005	8422
263	3016	8409
264	3026	8395
265	3036	8379
266	3047	8367
267	3056	8348
268	3066	8332
269	3072	8306
270	3081	8289
271	3092	8278
272	3104	8267
273	3108	8237
274	3119	8225
275	3131	8214
276	3143	8204
277	3154	8193
278	3165	8179
279	3176	8168
280	3186	8154
281	3195	8136
282	3205	8120
283	3217	8110
284	3219	8076
285	3230	8065
286	3243	8057
287	3253	8043
288	3265	8032
289	3276	8022
290	3287	8008
291	3295	7990
292	3307	7980
293	3318	7969
294	3330	7958
295	3342	7950
296	3353	7937
297	3365	7928
298	3376	7916
299	3386	7902
300	3392	7878
301	3401	7861
302	3413	7851
303	3424	7839
304	3435	7828
305	3446	7815
306	3458	7806
307	3468	7793
308	3477	7777
309	3486	7760
310	3496	7746
311	3508	7737
312	3514	7715
313	3517	7684
314	3529	7674
315	3538	7659
316	3549	7648
317	3559	7633
318	3572	7627
319	3585	7618
320	3597	7610
321	3606	7593
322	3616	7579
323	3626	7565
324	3637	7555
325	3649	7544
326	3660	7533
327	3664	7508
328	3678	7502
329	3689	7491
330	3699	7477
331	3707	7460
332	3719	7450
333	3731	7439
334	3742	7428
335	3752	7416
336	3763	7404
337	3775	7394
338	3780	7372
339	3791	7359
340	3800	7345
341	3811	7333
342	3820	7318
343	3829	7302
344	3840	7291
345	3849	7276
346	3859	7262
347	3869	7249
348	3879	7236
349	3890	7224
350	3897	7207
351	3907	7193
352	3918	7181
353	3927	7167
354	3937	7153
355	3947	7141
356	3959	7131
357	3969	7118
358	3979	7105
359	3989	7092
360	4001	7082
361	4012	7071
362	4022	7059
363	4032	7045
364	4043	7035
365	4055	7025
366	4067	7015
367	4072	6993
368	4084	6985
369	4096	6975
370	4107	6964
371	4118	6952
372	4130	6943
373	4143	6934
374	4152	6921
375	4162	6908
376	4175	6899
377	4185	6887
378	4196	6876
379	4207	6865
380	4218	6853
381	4229	6843
382	4241	6832
383	4252	6821
384	4264	6812
385	4276	6801
386	4287	6791
387	4299	6781
388	4310	6769
389	4320	6757
390	4332	6747
391	4342	6735
392	4354	6726
393	4366	6715
394	4376	6703
395	4388	6693
396	4398	6681
397	4410	6671
398	4419	6657
399	4430	6645
400	4441	6634
401	4454	6625
402	4464	6613
403	4476	6603
404	4486	6591
405	4498	6581
406	4508	6569
407	4520	6559
408	4532	6549
409	4542	6536
410	4554	6527
411	4564	6514
412	4576	6504
413	4587	6493
414	4598	6481
415	4609	6470
416	4619	6457
417	4631	6448
418	4644	6440
419	4655	6428
420	4666	6417
421	4677	6407
422	4688	6395
423	4699	6384
424	4710	6372
425	4721	6361
426	4731	6349
427	4744	6340
428	4755	6330
429	4767	6319
430	4778	6308
431	4789	6296
432	4801	6287
433	4813	6277
434	4824	6266
435	4835	6254
436	4843	6239
437	4856	6231
438	4868	6221
439	4878	6209
440	4890	6198
441	4901	6188
442	4913	6178
443	4926	6168
444	4938	6158
445	4950	6148
446	4962	6138
447	4971	6125
448	4981	6112
449	4991	6100
450	5003	6090
451	5015	6080
452	5025	6068
453	5037	6057
454	5049	6047
455	5059	6036
456	5070	6025
457	5081	6014
458	5093	6004
459	5105	5992
460	5117	5983
461	5128	5972
462	5141	5962
463	5152	5951
464	5165	5942
465	5177	5932
466	5189	5922
467	5200	5911
468	5213	5902
469	5224	5891
470	5236	5881
471	5248	5871
472	5261	5861
473	5272	5851
474	5284	5840
475	5297	5831
476	5308	5820
477	5320	5810
478	5332	5800
479	5344	5790
480	5356	5779
481	5367	5768
482	5379	5757
483	5389	5745
484	5400	5734
485	5411	5722
486	5422	5711
487	5433	5700
488	5444	5689
